date,time,seconds,state,sensor_name,thing_name,thing_ip
04/30/24,16:41,1714513289.0224702,1,Light Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:44,1714513490.2167592,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513501.2321584,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513512.2470925,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513523.2625828,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513529.772085,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513536.2815702,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513544.7933962,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:45,1714513549.3004482,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513560.3156178,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513566.8248527,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513577.8403368,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513584.3496146,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513590.858762,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513597.3700624,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513601.3759294,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513610.3885107,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:46,1714513616.8978772,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513623.4069736,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513629.916177,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513636.4255471,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513647.4405935,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513658.4549832,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513669.470114,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513675.9792547,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:47,1714513679.9854147,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513684.4921403,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513691.001309,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513695.0072043,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513704.019795,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513708.0259037,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513712.5325744,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513719.041636,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513723.0474966,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513729.5567243,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:48,1714513734.063414,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513740.57254,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513751.587768,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513758.0970905,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513764.606786,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513771.116086,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513777.6258376,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513786.1379442,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513790.6447349,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:49,1714513797.153229,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513803.662746,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513810.1712158,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513818.6826606,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513823.1886096,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513827.1947389,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513831.701643,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513840.2136016,0.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513844.720347,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513851.2297857,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:50,1714513857.739039,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513864.2483568,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513870.7578104,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513877.2669718,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513883.775427,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513894.7903762,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513898.7966535,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513903.30353,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513914.31871,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:51,1714513918.3245404,1.0,Left Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513922.8311875,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513929.3400192,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513935.8494668,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513942.358841,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513948.867915,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513955.376919,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513961.8860495,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513968.3952675,1.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
04/30/24,16:52,1714513974.90445,0.0,Front Motion Sensor,MotionGroupPi,192.168.4.149
